env,algo,n_seeds,mean,std,iqm,iqm_ci_lo,iqm_ci_hi
Reacher-v5,PPO,20,-4.783810460567475,0.42636826629891617,-4.7996725082397464,-5.029409066438675,-4.557626976966858
Reacher-v5,SAC,20,-3.604932463169098,0.2641740079354257,-3.5833432197570803,-3.729024647474289,-3.4733317732810978
Reacher-v5,TD3,20,-4.520866239070893,0.4306180170608742,-4.451725769042969,-4.699435477256776,-4.272695229053498
Reacher-v5,A2C,20,-12.138521671295166,3.282609096917376,-11.694807624816894,-13.075554943084715,-10.510462448596957
HalfCheetah-v5,PPO,20,1419.47919921875,349.5023707900141,1363.384814453125,1298.7442056274413,1529.2837823486327
HalfCheetah-v5,SAC,20,7751.409008789063,865.284313577983,7792.37255859375,7259.51482421875,8262.440922851563
HalfCheetah-v5,TD3,20,4505.908184814453,2284.7879775902734,4529.13720703125,2826.762603149414,6152.785985107419
HalfCheetah-v5,A2C,20,1021.269794845581,670.105375419007,830.9726867675781,639.8540580749511,1251.4137870788575
Hopper-v5,PPO,20,1605.8314880371095,907.8614145218678,1215.3913513183593,1029.4808074951172,1902.2878204345698
Hopper-v5,SAC,20,2839.216064453125,758.6462717025448,3147.32412109375,2607.7927709960936,3325.5485302734373
Hopper-v5,TD3,20,386.7641014933586,697.8788143648923,83.97931518554688,37.65639325141907,432.854426670074
Hopper-v5,A2C,20,616.2287313461304,589.7188960297057,473.93089904785154,331.09438266754154,717.2222869873045
Walker2d-v5,PPO,20,936.2710205078125,632.0029911686943,741.9024963378906,680.1149681091309,917.6495913696286
Walker2d-v5,SAC,20,3840.4045349121093,1237.5800832609596,3974.622509765625,3254.8217340087895,4551.024243164063
Walker2d-v5,TD3,20,1533.1726165771483,1191.2862566220167,1445.8749877929688,564.9812969970704,2389.058702545166
Walker2d-v5,A2C,20,245.38884716033937,155.9863573303475,228.415030670166,136.0939659500122,330.7999514198302
