env,algo_a,algo_b,n_a,n_b,naive_ttest_p,naive_significant_p05,prob_improvement,poi_ci_lo,poi_ci_hi,rigorous_significant,naive_p_holm,naive_significant_holm_p05
Reacher-v5,A2C,PPO,20,20,4.211921386110346e-09,True,0.0,0.0,0.0,True,9.825565950612436e-09,True
Reacher-v5,A2C,SAC,20,20,3.9952395455417433e-10,True,0.0,0.0,0.0,True,1.997619772770872e-09,True
Reacher-v5,A2C,TD3,20,20,2.339923745705204e-09,True,0.0,0.0,0.0,True,9.359694982820816e-09,True
Reacher-v5,PPO,SAC,20,20,7.344876036866788e-12,True,0.0075,0.0,0.03,True,4.406925622120073e-11,True
Reacher-v5,PPO,TD3,20,20,0.05976542155106561,False,0.315,0.1575,0.49506249999999963,True,0.05976542155106561,False
Reacher-v5,SAC,TD3,20,20,3.2751886502041454e-09,True,0.985,0.95,1.0,True,9.825565950612436e-09,True
HalfCheetah-v5,A2C,PPO,20,20,0.025522267481048716,True,0.23,0.075,0.41,True,0.025522267481048716,True
HalfCheetah-v5,A2C,SAC,20,20,1.1905330907348243e-25,True,0.0,0.0,0.0,True,7.143198544408946e-25,True
HalfCheetah-v5,A2C,TD3,20,20,1.317658135138991e-06,True,0.0725,0.015,0.1675,True,5.270632540555964e-06,True
HalfCheetah-v5,PPO,SAC,20,20,2.871989596074115e-21,True,0.0,0.0,0.0,True,1.4359947980370577e-20,True
HalfCheetah-v5,PPO,TD3,20,20,7.887275238512341e-06,True,0.0425,0.0025,0.11,True,1.5774550477024683e-05,True
HalfCheetah-v5,SAC,TD3,20,20,3.72607905474626e-06,True,0.925,0.8324375,0.985,True,1.1178237164238779e-05,True
Hopper-v5,A2C,PPO,20,20,0.0002662005951133391,True,0.11,0.024937500000000005,0.225,True,0.0005324011902266782,True
Hopper-v5,A2C,SAC,20,20,2.6337219428264612e-12,True,0.015,0.0,0.06,True,1.3168609714132307e-11,True
Hopper-v5,A2C,TD3,20,20,0.2686134813827302,False,0.77,0.5799375,0.9175,True,0.2686134813827302,False
Hopper-v5,PPO,SAC,20,20,4.018858119128007e-05,True,0.1525,0.0425,0.2925,True,0.00012699361796972094,True
Hopper-v5,PPO,TD3,20,20,3.1748404492430234e-05,True,0.9075,0.795,0.9850624999999996,True,0.00012699361796972094,True
Hopper-v5,SAC,TD3,20,20,6.452233756536656e-13,True,0.985,0.94,1.0,True,3.871340253921994e-12,True
Walker2d-v5,A2C,PPO,20,20,0.00010549659979266301,True,0.005,0.0,0.0225,True,0.000316489799377989,True
Walker2d-v5,A2C,SAC,20,20,5.014339706252678e-11,True,0.0,0.0,0.0,True,3.008603823751607e-10,True
Walker2d-v5,A2C,TD3,20,20,0.00011577478678202939,True,0.115,0.035,0.23006249999999967,True,0.000316489799377989,True
Walker2d-v5,PPO,SAC,20,20,3.8095310086703657e-10,True,0.02,0.0,0.065,True,1.904765504335183e-09,True
Walker2d-v5,PPO,TD3,20,20,0.057355043052092124,False,0.4975,0.285,0.695,False,0.057355043052092124,False
Walker2d-v5,SAC,TD3,20,20,5.602592997774413e-07,True,0.9,0.8025,0.9775,True,2.241037199109765e-06,True
