env,algo_a,algo_b,observed_cohens_d,power_n3,power_n5,power_n8,power_n10,power_n15,power_n20,power_n30,power_n50,n_seeds_needed_for_80pct_power
Reacher-v5,A2C,PPO,3.1421622067416966,0.8166218569655121,0.9906958990281365,0.9999417318838041,0.9999984080770998,0.9999999998755515,1.0,1.0,1.0,3.0
Reacher-v5,A2C,SAC,3.6645929160132695,0.9106760442446753,0.998864496498834,0.999999242556308,0.999999995557743,0.9999999999999932,1.0,1.0,1.0,3.0
Reacher-v5,A2C,TD3,3.2539594573686053,0.8408282427857567,0.993847136402774,0.9999752638300984,0.999999502166865,0.9999999999822237,0.9999999999999996,1.0,1.0,3.0
Reacher-v5,PPO,SAC,3.3238980762239683,0.8548138267173594,0.9952973859497869,0.9999858145301781,0.9999997657308596,0.9999999999949586,0.9999999999999999,1.0,1.0,3.0
Reacher-v5,PPO,TD3,0.6136410666281067,0.09057414383405192,0.1376672852990744,0.2082886737187127,0.2550384930890927,0.3682230318253718,0.4727214128955718,0.6469831537246334,0.8594922250510806,43.0
Reacher-v5,SAC,TD3,2.564022928781772,0.6567689425853457,0.9422871534070082,0.9973814679276839,0.9997169240005455,0.9999992338363389,0.9999999985076299,0.9999999999999969,1.0,4.0
HalfCheetah-v5,A2C,PPO,0.7451351073467636,0.11005583847681714,0.18040913502373895,0.28438661778327373,0.35127501241558945,0.5042228216727346,0.6317674957830439,0.8099860317641138,0.958091762718261,30.0
HalfCheetah-v5,A2C,SAC,8.696699758439573,0.999999956636817,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0
HalfCheetah-v5,A2C,TD3,2.069703328106419,0.48735590238045995,0.8168155666612632,0.970070237620028,0.992011110826058,0.9997719411679521,0.999994902453775,0.9999999983767889,0.9999999999999999,5.0
HalfCheetah-v5,PPO,SAC,9.595656907800956,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0
HalfCheetah-v5,PPO,TD3,1.8884381278749982,0.42327939899244366,0.7441105509906276,0.9391111523757465,0.9787347026395005,0.9987675519047469,0.9999422691094595,0.9999999148244917,0.9999999999999251,6.0
HalfCheetah-v5,SAC,TD3,1.8786544808108447,0.41984969349882223,0.7397932376685733,0.936903890421427,0.9776629986575943,0.9986581934307663,0.9999347402444136,0.9999998959010518,0.9999999999998923,6.0
Hopper-v5,A2C,PPO,1.2927533141581824,0.23183309720938183,0.4360991920436889,0.6720402976472593,0.7804570586162507,0.9273813128256839,0.9784505615580497,0.99847395683077,0.999995490903438,11.0
Hopper-v5,A2C,SAC,3.271731221659909,0.8444661423228346,0.9942491264149277,0.9999784917685078,0.9999995881484847,1.0,0.9999999999999998,1.0,1.0,3.0
Hopper-v5,A2C,TD3,0.355171977336997,0.0634973913279682,0.07878456776389038,0.10163991160439735,0.11696901403269919,0.15564718512369713,0.19463061876607338,0.27234669704303693,0.4202498622291044,126.0
Hopper-v5,PPO,SAC,1.4743047423454585,0.2852114681349543,0.5353864833962163,0.7828298729914633,0.8762477560106645,0.9735415890622534,0.9950815346117439,0.9998705882150226,0.9999999530042486,9.0
Hopper-v5,PPO,TD3,1.5055681744610407,0.2949374550535999,0.5524110995446593,0.7994472185922354,0.8892034707515469,0.978208067296193,0.9962936824130164,0.9999191370235512,0.9999999802073165,9.0
Hopper-v5,SAC,TD3,3.36461124408793,0.8625487297704705,0.9959929431644038,0.9999898099664042,0.9999998503601796,0.9999999999976156,1.0,1.0,1.0,3.0
Walker2d-v5,A2C,PPO,1.5009258879044345,0.2934841776632271,0.5498889042679003,0.7970293316436428,0.887343768762201,0.977562547874142,0.9961325680506702,0.9999132153417244,0.9999999774623445,9.0
Walker2d-v5,A2C,SAC,4.0758659698789295,0.9543129619971485,0.999840585455343,0.9999999865040792,1.0,1.0,1.0,1.0,1.0,3.0
Walker2d-v5,A2C,TD3,1.5158294828881747,0.29816077909073246,0.557977938804037,0.8047297389922061,0.893235743929462,0.9795794121923415,0.9966286336850368,0.999930904565489,0.9999999851734942,8.0
Walker2d-v5,PPO,SAC,2.955539812082219,0.7711556800907347,0.9822440102489424,0.9997768961540842,0.999990134073836,0.9999999973423666,0.9999999999995166,1.0,1.0,4.0
Walker2d-v5,PPO,TD3,0.6259652898130628,0.09223566774955576,0.14130806273820862,0.21483985508362557,0.2634216787324472,0.38054582112673774,0.48784122913536415,0.6642579054566661,0.872658604073281,42.0
Walker2d-v5,SAC,TD3,1.8994976474980132,0.42716176097850905,0.7489447594168871,0.9415329027483988,0.9798934339190504,0.9988813095335972,0.9999497912739301,0.9999999322173291,1.0,6.0
