env,algo_a,algo_b,n_a,n_b,naive_ttest_p,naive_significant_p05,prob_improvement,poi_ci_lo,poi_ci_hi,rigorous_significant,naive_p_holm,naive_significant_holm_p05
Reacher-v5,A2C,PPO,10,10,2.173422069290258e-05,True,0.0,0.0,0.0,True,6.520266207870774e-05,True
Reacher-v5,A2C,SAC,10,10,6.786573724932972e-06,True,0.0,0.0,0.0,True,3.3932868624664865e-05,True
Reacher-v5,A2C,TD3,10,10,1.5351009262923286e-05,True,0.0,0.0,0.0,True,6.140403705169314e-05,True
Reacher-v5,PPO,SAC,10,10,4.568615308541566e-06,True,0.0,0.0,0.0,True,2.74116918512494e-05,True
Reacher-v5,PPO,TD3,10,10,0.310350625549598,False,0.34,0.11,0.6,False,0.310350625549598,False
Reacher-v5,SAC,TD3,10,10,0.00025597765845684206,True,0.98,0.92,1.0,True,0.0005119553169136841,True
HalfCheetah-v5,A2C,PPO,10,10,0.28685420961035285,False,0.3,0.0,0.6,False,0.28685420961035285,False
HalfCheetah-v5,A2C,SAC,10,10,3.7127817465433414e-13,True,0.0,0.0,0.0,True,2.2276690479260048e-12,True
HalfCheetah-v5,A2C,TD3,10,10,0.0014433503984456462,True,0.12,0.0,0.3,True,0.004330051195336939,True
HalfCheetah-v5,PPO,SAC,10,10,1.2377938850585372e-10,True,0.0,0.0,0.0,True,6.188969425292685e-10,True
HalfCheetah-v5,PPO,TD3,10,10,0.0029328255313742315,True,0.03,0.0,0.12,True,0.005865651062748463,True
HalfCheetah-v5,SAC,TD3,10,10,0.0006910149316801164,True,0.95,0.84,1.0,True,0.0027640597267204656,True
