env,algo_a,algo_b,observed_cohens_d,power_n3,power_n5,power_n8,power_n10,power_n15,power_n20,power_n30,power_n50,n_seeds_needed_for_80pct_power
Reacher-v5,A2C,PPO,3.458881873299558,0.8793283827466659,0.9972618303190267,0.9999953572551129,0.9999999483924381,,,1.0,,3.0
Reacher-v5,A2C,SAC,4.071536466318282,0.9539672149058412,0.9998370257926795,0.9999999858801062,,,1.0,1.0,1.0,3.0
Reacher-v5,A2C,TD3,3.5557486320350327,0.8949657093493831,0.9981756089409889,0.9999979897825008,0.9999999833743018,,1.0,1.0,,3.0
Reacher-v5,PPO,SAC,3.1086501915778273,0.8089211877393585,0.9895085873356578,0.9999252454043872,0.9999977672986657,0.9999999997806103,,1.0,,3.0
Reacher-v5,PPO,TD3,0.46723424874657277,0.07342423262786164,0.10024150941643316,0.14053596106541152,0.16756002250969626,0.2352182547301061,0.3019743627945428,0.42853102769276813,0.6380652922340272,73.0
Reacher-v5,SAC,TD3,2.190751656461548,0.530172459787823,0.8572476182553351,0.9823534618083538,0.996136606394636,0.9999343926655313,0.9999991457689535,0.9999999999109048,,5.0
HalfCheetah-v5,A2C,PPO,0.500827111791871,0.07693857697311698,0.10788083388726093,0.15440106871833323,0.1855540726390708,0.2631515295074959,0.3388687590168139,0.47915053269220986,0.6983220894692741,64.0
HalfCheetah-v5,A2C,SAC,8.274647093503155,,1.0,,1.0,,1.0,,1.0,2.0
HalfCheetah-v5,A2C,TD3,1.8749775175761336,0.41856193061625097,0.7381608623787637,0.9360583746348393,0.9772485991896825,0.9986148502428367,0.9999316785584627,0.9999998877872598,,6.0
HalfCheetah-v5,PPO,SAC,10.532206764429194,,,1.0,1.0,,,1.0,1.0,4.0
HalfCheetah-v5,PPO,TD3,1.7906286743526652,0.38923676797989,0.6993041719594099,0.9141436058687488,0.9658114712347525,0.9971954148348132,0.999810813633349,0.9999994040408668,,7.0
HalfCheetah-v5,SAC,TD3,2.064806983064275,0.48561934561951753,0.8150408206767987,0.9694517881899323,0.9917829915524641,0.9997606364012203,0.9999945357990757,0.9999999981825061,0.9999999999999999,5.0
