env,algo_a,algo_b,k,n_trials,exact,full_significant,full_direction,pct_naive_significant,disagreement_rate_pct,direction_flip_rate_pct
Reacher-v5,A2C,PPO,3,4000,False,True,a<b,61.275,38.725,0.0
Reacher-v5,A2C,PPO,4,4000,False,True,a<b,97.65,2.35,0.0
Reacher-v5,A2C,PPO,5,4000,False,True,a<b,100.0,0.0,0.0
Reacher-v5,A2C,PPO,6,4000,False,True,a<b,100.0,0.0,0.0
Reacher-v5,A2C,PPO,7,4000,False,True,a<b,100.0,0.0,0.0
Reacher-v5,A2C,PPO,8,2025,True,True,a<b,100.0,0.0,0.0
Reacher-v5,A2C,PPO,9,100,True,True,a<b,100.0,0.0,0.0
Reacher-v5,A2C,SAC,3,4000,False,True,a<b,72.4,27.6,0.0
Reacher-v5,A2C,SAC,4,4000,False,True,a<b,100.0,0.0,0.0
Reacher-v5,A2C,SAC,5,4000,False,True,a<b,100.0,0.0,0.0
Reacher-v5,A2C,SAC,6,4000,False,True,a<b,100.0,0.0,0.0
Reacher-v5,A2C,SAC,7,4000,False,True,a<b,100.0,0.0,0.0
Reacher-v5,A2C,SAC,8,2025,True,True,a<b,100.0,0.0,0.0
Reacher-v5,A2C,SAC,9,100,True,True,a<b,100.0,0.0,0.0
Reacher-v5,A2C,TD3,3,4000,False,True,a<b,63.325,36.675,0.0
Reacher-v5,A2C,TD3,4,4000,False,True,a<b,98.6,1.4,0.0
Reacher-v5,A2C,TD3,5,4000,False,True,a<b,100.0,0.0,0.0
Reacher-v5,A2C,TD3,6,4000,False,True,a<b,100.0,0.0,0.0
Reacher-v5,A2C,TD3,7,4000,False,True,a<b,100.0,0.0,0.0
Reacher-v5,A2C,TD3,8,2025,True,True,a<b,100.0,0.0,0.0
Reacher-v5,A2C,TD3,9,100,True,True,a<b,100.0,0.0,0.0
Reacher-v5,PPO,SAC,3,4000,False,True,a<b,72.425,27.575,0.0
Reacher-v5,PPO,SAC,4,4000,False,True,a<b,99.65,0.35,0.0
Reacher-v5,PPO,SAC,5,4000,False,True,a<b,100.0,0.0,0.0
Reacher-v5,PPO,SAC,6,4000,False,True,a<b,100.0,0.0,0.0
Reacher-v5,PPO,SAC,7,4000,False,True,a<b,100.0,0.0,0.0
Reacher-v5,PPO,SAC,8,2025,True,True,a<b,100.0,0.0,0.0
Reacher-v5,PPO,SAC,9,100,True,True,a<b,100.0,0.0,0.0
Reacher-v5,PPO,TD3,3,4000,False,False,a<b,3.35,3.35,0.0
Reacher-v5,PPO,TD3,4,4000,False,False,a<b,4.3,4.3,0.0
Reacher-v5,PPO,TD3,5,4000,False,False,a<b,4.875,4.875,0.0
Reacher-v5,PPO,TD3,6,4000,False,False,a<b,4.45,4.45,0.0
Reacher-v5,PPO,TD3,7,4000,False,False,a<b,3.075,3.075,0.0
Reacher-v5,PPO,TD3,8,2025,True,False,a<b,2.1728395061728394,2.1728395061728394,0.0
Reacher-v5,PPO,TD3,9,100,True,False,a<b,0.0,0.0,0.0
Reacher-v5,SAC,TD3,3,4000,False,True,a>b,29.95,70.05,0.0
Reacher-v5,SAC,TD3,4,4000,False,True,a>b,73.975,26.025,0.0
Reacher-v5,SAC,TD3,5,4000,False,True,a>b,96.575,3.425,0.0
Reacher-v5,SAC,TD3,6,4000,False,True,a>b,99.95,0.05,0.0
Reacher-v5,SAC,TD3,7,4000,False,True,a>b,100.0,0.0,0.0
Reacher-v5,SAC,TD3,8,2025,True,True,a>b,100.0,0.0,0.0
Reacher-v5,SAC,TD3,9,100,True,True,a>b,100.0,0.0,0.0
